page,text,Class
1,"U.S. Department of Justice AttarAe:,c\\'erlc Predtiet // Mtt; CeA1:ttiA Ma1:ertalPrn1:eetedUAder Fed. R. Crhtt. P. 6(e) Report On The Investigation Into Russian InterferenceIn The 2016 PresidentialElection Volume I of II Special Counsel Robert S. Mueller, III Submitted Pursuant to 28 C.F.R. § 600.8(c) Washington, D.C. March 2019 NaN",0
2,U.S. Department of Justice Atl6rney W6rk Pr6d1:1et// May C6ntain MEtteria... NaN,0
3,"U.S. Department of Justice At:t:ef'fle)'Werle Predttet /,' Ma;· CeHtail'l... TABLE OF CONTENTS - VOLUME I INTRODUCTION TO VOLUME I ......... .............. EXECUTIVE SUMMARY TO VOLUME 1.... I. THE SPECIAL COUNSEL'S INVESTIGATION .......... II. RUSSIAN ""ACTIVE MEASURES"" SOCIAL MEDIA CAM... A. Structure of the Internet Research Agency .... B. Funding and Oversight from Concord and Prig... C. The IRA Targets U.S. Elections ............... 1. The IRA Ramps Up U.S. Operations As Early A... 2. U.S. Operations Through IRA-Controlled Soci... 3. U.S. Operations Through Facebook. ............ 4. U.S. Operations Through Twitter .............. a. Individualized Accounts ...................... b. IRA Botnet Activities ........................ 5. U.S. Operations Involving Political Rallies... 6. Targeting and Recruitment of U.S. Persons .... 7. Interactions and Contacts with the Trump Ca... a. Trump Campaign Promotion ofIRA Politica l M... b. Contact with Trump Campaign Officials in Co... Ill. RUSSIAN HACKING AND DUMPING OPERATIONS ..... A. GRU Hacking Directed at the Clinton Campaig... 1. GRU Units Target the Clinton Campaign ........ 2. Intrusions into the DCCC and DNC Networks .... a. Initial Access ............................... b. Implantation ofMalware on DCCC and DNC Netw... c. Theft of Documents from DNC and DCCC Networ... B. Dissemination of the Hacked Materials ........ I. DCL ea ks ........ ........................... 2 . Guccifer 2.0 ............ .............. .... 3. Use of WikiLeaks ......... ........... ....... a. WikiLeaks 's Expressed Opposition Toward th... b. WikiLeaks's First Contact with Guccifer 2.0... NaN",0
4,"U.S. Department of Justice MterHey Werk Pretittet // Ma,· Cel'ltail'IMate... c. The GRU ' s Transfer of Stolen Materials to... d. · WikiLeaks Statements Dissembling About th... Materials ....................................... C. Additional GRU Cyber Operations .............. l. Summer and Fall 2016 Operations Targeting D... 2. Intrusions Targeting the Administration of ... D. Trump Campaign and the Dissemination of Hac... l. ..................... a. Background ..................... ............. b. Contacts with the Campaign about WikiLeaks ... C. Harm to Ongoing Matter ... d. WikiLeaks ' s October 7, 2016 Release of St... e. Donald Trump Jr. Interaction with WikiLeaks... 2. Other Potential Campaign Interest in Russia... a. Henry Oknyansky (a/k/a Henry Greenberg) ...... b. Campaign Efforts to Obtain Deleted Clinton ... IV. RUSSIAN GOVERNMENT LINKS To AND CONTACTS W... A. Campaign Period (September 2015 - November ... 1. Trump Tower Moscow Project ................... a. Trump Tower Moscow Venture with the Crocus ... b. Communications with LC . Expert Investment ... Rtskhiladze (Summer and Fall 2015) .............. c. Letter of Intent and Contacts to Russian Go... January 2016) ................................... i. Trump Signs the Letter of Intent on behalf ... ii. Post-LOI Contacts with Individuals in Russ... d. Discussions about Russia Travel by Michael ... (December 2015-June 2016) ....................... i. Sater ' s Overtures to Cohen to Travel to R... ii. Candidate Trump's Opportuniti es to Travel... 2. George Papadopoulos .......................... a. Origins of Campaign Work .............. ...... b. Initial Russia-Related Contacts ........ ..... c. March 31 Foreign Policy Team Meeting ......... ii NaN",2
5,"U.S. Department of Justice Wet'k Pt'etlttet /I Ma:y CeHtttiHMat:ef'ittlPr... At-1:effley d. George Papadopoulos Learns That Russia Has ... Clinton Emails ............. ....... ............ e. Russia-Related Communications With The Camp... f. Trump Campaign Knowledge of ""Dirt"" ........... g. Additional George Papadopoulos Contact.. ..... 3. Carter Page .................................. a. Background ................................... b. Origins of and Early Campaign Work ........... c. Carter Page's July 2016 Trip To Moscow ....... d. Later Campaign Work and Removal from the Ca... 4. Dimitri Simes and the Center for the Nation... a. CNI and Dimitri Simes Connect with the Trum... b. National Interest Hosts a Foreign Policy Sp... ........... ..................................... c. Jeff Sessions's Post -Speech Interactions w... d. Jared Kushner' s Continuing Contacts with S... 5. June 9, 2016 Meeting at Trump Tower .......... a. Setting Up the June 9 Meeting ................ i. Outreach to Donald Trump Jr .................. ii. Awareness of the Meeting Within the Campai... b. TheEventsofJune9 , 2016 .... i. Arrangements for the Meeting ................. ii. Conduct of the Meeting ............... ...... c. Post-June 9 Events ........................... 6. Events at the Republican National Conventio... a. Ambassador Kislyak's Encounters with Senat... Gordon the Week of the RNC ...................... b. Change to Republican Party Platform .......... 7. Post-Convention Contacts with Kislyak ........ a. Ambassador Kislyak Invites J.D. Gordon t... Ambassador's Residence .......................... b. Senator Sessions's September 2016 Meeting w... 8. Paul Manafort .............. ................. a. Paul Manafort' s Ties to Russia and Ukraine... lll NaN",2
6,"U.S. Department of Justice Atten1e~· Werk Pred1:1et/,' Mtty Cefltaifl Mat... 1. Oleg Deripaska Consulting Work ............. 11. Political Consulting Work .................. iii. Konstantin Kilimnik ........................ b. Contacts during Paul Manafort's Time with t... i. Paul Manafort Joins the Campaign ............. ii. Paul Manafort's Campaign-Period Contacts .... iii. Paul Manafort's Two Campaign-Period Meeti... Kilimnik in the United States ................... c. Post-Resignation Activities .................. B. Post-Election and Transition-Period Contact... 1. Immediate Post-Election Activity ............. a. Outreach from the Russian Government.. ....... b. High-Level Encouragement of Contacts throug... 2. Kirill Dmitriev's Transition-Era Outreach t... a. Background .................... .............. b. Kirill Dmitriev's Post-Election... Administration .............. ............... ... c. Erik Prince and Kirill Dmitriev Meet in the... i. George Nader and Erik Prince Arrange Sey... Dmitriev ..... .................................. 11. The Seychelles Meetings .............. ..... iii. Erik Prince's Meeting with Steve Bannon a... d. Kirill Dmitriev's Post-Election Contact wit... U .S.-Russia Relations ...................... ... 3. Ambassador Kislyak's Meeting with Jared Kus... Trump Tower Following the Election .............. 4. Jared Kushner' s Meeting with Sergey Gorkov... 5. Petr A ven' s Outreach Efforts to the Trans... 6. Carter Page Contact with Deputy Prime Minis... 7. Contacts With and Through Michael T. Flynn ... a. United Nations Vote on Israeli Settlements ... b. U.S. Sanctions Against Russia ............ ... V. PROSECUTION AND DECLINATION DECISIONS ........ A. Russian ""Active Measures"" Social Media Camp... IV NaN",2
7,U.S. Department of Justice AtterAe~ \\' erk Prea1::1et// Mft) CeHtttil'l ... 1 1 B. Russian Hacking and Dumping Operations ....... 1. Section 1030 Computer-Intrusion Conspiracy ... a. Background .................. ................ b. Charging Decision As to ... 2. Potential Section 1030 Violation By ... C. Russian Government Outreach and Contacts ..... 1. Potential Coordination: Conspiracy and Coll... 2. Potential Coordination: Foreign Agent Statu... a. Governing Law ................................ b. Application .................................. 3. Campaign Finance .................... ........ a. Overview Of Governing Law .................... b . Application to June 9 Trump Tower Meeting ... i. Thing-of -Value Element .......... ........... ii. Willfuln ess ................................ iii. Difficulties in Valuing Promised Informat... c. Application to WikiLeaks 1. .................... ............................ ii. Willfulness ................................. iii. Constitutional Considerations .............. iv. Analysis ... 4. False Statem ents and Obstruction of the In... a. Overview Of Governing Law ............. ...... b. Application to Certain Individuals ........... i. George Papadopoulos .......................... 11. .............. 111. Michael Flynn .............................. iv . Michael Cohen .......................... ... V. ............... vi. Jeff Sessions ....................... ....... vii. Other s Interviewed During the Investigat... V NaN,2
8,U.S. Department of Justice A+terfl:eyWerk Prodttet // May Cefl:tttiflMate... NaN,0
9,"U.S . Department of Justice Atten1e:y·'>lork Preettet // Moy Cefttttift Ma... INTRODUCTION TO VOLUME I This report is submitted to the Attorney Gener... states that , ""[a]t the conclusion of the Spec... General a confidential report explaining the p... Counsel] reached."" The Russian government interfered in the 2016 ... systematic fashion. Evidence of Russian govern... June, the Democratic National Committee and it... Russian hackers had compromised its computer n... that public reporting soon attributed to the R... Additional releases followed in July through t... October and November. In late July 2016, soon after WikiLeaks's firs... government contacted the FBI about a May 2016 ... advisor George Papadopoulos. Papadopoulos had ... government that the Trump Campaign had receive... it could assist the Campaign through the anony... Democratic presidential candidate Hillary Clin... 31, 2016, to open an investigation into whethe... were coordinating with the Russian government ... That fall, two federal agencies jointly announ... recent compromises of e-mails from US persons ... organizations,"" and , "" [t]hese thefts and dis... process."" After the election, in late December... for having interfered in the election. By earl... examining Russia's interference in the election. Within the Executive Branch, these investigato... appointment of Special Counsel Robert S. Muell... authorized him to investigate ""the Russian gov... presidential election ,"" including any links o... individuals associated with the Trump Campaign. As set forth in detail in this report, the Spe... Russia interfere~ in the 2016 presidential ele... Russian entity carried out a social media camp... Trump and disparaged presidential candidate Hi... service conducted computer-intrusion operation... working on the Clinton Campaign and then relea... identified numerous links between the Russian ... the investigation established that the Russian... presidency and worked to secure that outcome, ... NaN",2
10,"U.S. Department of Justice Atterttey Werk Predttet // Ma~· Cetttaitt Mate... electorally from information stolen and releas... establish that members of the Trump Campaign c... government in its election interference activi... * * * Below we describe the evidentiary consideratio... results of our investigation and the Special C... overview of the two volumes of our report. The report describes actions and events that t... supp01ted by the evidence collected in our inv... the absence of evidence or conflicts in the ev... instances, when substantial, credible evidence... confidence, the report states that the investi... occurred. A statement that the investigation d... was no evidence of those facts. In evaluating whether evidence about collectiv... a crime, we applied the framework of conspirac... the Office recognized that the word ""collud[ e... Attorney General confirming certain aspects of... frequently been invoked in public reporting ab... offense or theory of liability found in the Un... criminal law. For those reasons , the Office's... was on conspiracy as defined in federal law. I... factual question whether members of the Trump ... in the appointment order-with Russian ... ""coordination"" does not have a settled definit... coordination to require an agreement-tacit or ... Russian government on election interference. T... actions that were informed by or responsive to... coordination in that sense when stating in the... Trump Campaign coordinated with the Russian go... * * * The report on our investigation consists of tw... Volume I describes the factual results of the ... interference in the 2016 presidential election... Section I describes the scope of the investiga... Russia interfered in the 2016 presidential ele... 2 NaN",2
